--------- beginning of main
05-18 06:15:48.045  7281  7281 I DeviceModeModule: DeviceModeModule.calculateAndNotify():198 Window metrics is not available, fallback to app context.
05-18 06:15:48.045  7281  7281 I DeviceModeModule: DeviceModeModule.calculateAndNotify():225 Device mode 'phone' from display metrics 'DisplayMetrics{density=0.0, width=1080, height=2400, scaledDensity=0.0, xdpi=420.0, ydpi=420.0}' or smallestScreenWidthDp: 411
05-18 06:15:48.045  7281  7281 I GoogleInputMethodService: GoogleInputMethodService.clearInputMethodServiceData():983 clearInputMethodServiceData for onDestroy
05-18 06:15:48.046  7281  7281 I GoogleInputMethodService: GoogleInputMethodService.discardAllKeyboardViewAndInputView():1147 discardAllKeyboardViewAndInputView()
05-18 06:15:48.047  7281  7281 I InputMethodEntryManager: InputMethodEntryManager.notifyCurrentInputMethodEntryOnContextChanged():545 notifyCurrentInputMethodEntryOnContextChanged()
05-18 06:15:48.047  7281  7281 I InputMethodEntryManager: InputMethodEntryManager.notifyCurrentInputMethodEntryOnContextChanged():566 Notify current input method entry changed on context change
05-18 06:15:48.047  7281  7281 I KeyboardThemeProvider: KeyboardThemeProvider.reset():39 Reset keyboard theme
05-18 06:15:48.047  7281  7281 I KeyboardContextProvider: KeyboardContextProvider.setBaseContextAndInvalidKeyboardContextCache():88 setBaseContextAndInvalidKeyboardContextCache(): null
05-18 06:15:48.054   538   899 W InputManager-JNI: Input channel object '6046d78 InputMethod (client)' was disposed without first being removed with the input manager!
05-18 06:15:48.062  7281  7281 I AbstractOpenableExtension: AbstractOpenableExtension$3.onSuccess():555 KeyboardGroupManager destroyed in edp.
05-18 06:15:48.063  7281  7281 I AbstractOpenableExtension: AbstractOpenableExtension$3.onSuccess():555 KeyboardGroupManager destroyed in fyk.
05-18 06:15:48.063  7281  7281 I AbstractOpenableExtension: AbstractOpenableExtension$3.onSuccess():555 KeyboardGroupManager destroyed in fvs.
05-18 06:15:48.134  7281  7281 W PackageUtil: PackageUtil.getApplicationInfo():50 Package io.github.ylimit.droidbotapp not found.
05-18 06:15:48.134  7281  7281 W PackageUtil: PackageUtil.getPackageInfo():31 Package io.github.ylimit.droidbotapp not found.
--------- beginning of system
05-18 06:15:48.316   538   559 E RemoteAugmentedAutofillService: Bad service name for flags 1048704: com.google.android.as/com.google.android.apps.miphone.aiai.app.AiAiAugmentedAutofillService
05-18 06:15:48.401  3807  3807 I abb     : StartCommandInProcess(73657474696e67730067657400676c6f settings.get.glo [truncated])
05-18 06:15:48.397   538   538 W Binder:538_B: type=1400 audit(0.0:117): avc: denied { getopt } for scontext=u:r:system_server:s0 tcontext=u:r:shell:s0 tclass=unix_stream_socket permissive=0
05-18 06:15:48.409  3807  3807 I abb     : StartCommandInProcess(7061636b61676500696e7374616c6c00 package.install. [truncated])
05-18 06:15:48.397   538   538 W Binder:538_B: type=1400 audit(0.0:118): avc: denied { getopt } for scontext=u:r:system_server:s0 tcontext=u:r:shell:s0 tclass=unix_stream_socket permissive=0
